year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Spring,Summer,Autumn,Annual,Winter
1871,95.2,100.1,169.8,28.6,79.6,32.6,1.8,0,144.3,78.6,157.6,67.4,278,34.4,380.5,955.6,
1872,172.3,216.3,79.9,48.6,28.5,0,5.8,3.3,23.6,106,65.1,158,157,9.1,194.7,907.4,456
1873,122,103.5,176.8,57.8,85.6,17.9,0.2,2.6,0.2,33.1,77.2,44.1,320.2,20.7,110.5,721,383.5
1874,30.8,101.8,15.3,63.3,17.3,3.3,0.3,0.2,10.7,78.6,29.7,88.9,95.9,3.8,119,440.2,176.7
1875,63.1,83.4,54.1,30.1,30.2,12,9.7,0.3,16.8,56.9,37.5,73.6,114.4,22,111.2,467.7,235.4
1876,39.5,89,76.5,18.8,31.5,10,0,0.1,24,190,243,384.5,126.8,10.1,457,1106.9,202.1
1877,160.7,42.4,66.2,163.4,102.4,25.3,10.6,11.7,75.7,24.1,72.6,51.8,332,47.6,172.4,806.9,587.6
1878,20,52.6,62.5,99.9,36.4,2.7,0.7,18.3,32.1,91.4,154.1,172.9,198.8,21.7,277.6,743.6,124.4
1879,121.4,118.2,40.8,127,2.2,26.8,0.1,0.2,38.5,59.3,179.1,46.6,170,27.1,276.9,760.2,412.5
1880,13,79.9,74.6,78.1,57.7,23.9,0,10.9,6.1,163.2,103.1,70,210.4,34.8,272.4,680.5,139.5
1881,290.9,97.2,124.8,208.1,17.1,8.3,2.1,0,15.8,69,81.2,45.9,350,10.4,166,960.4,458.1
1882,22.5,62.9,26.6,58.5,74.8,9.2,16.3,0.5,16.9,73.1,30.8,146.3,159.9,26,120.8,538.4,131.3
1883,150.2,55.8,202.3,79.1,116.1,11.7,2.1,0,20.1,21.2,19,6.6,397.5,13.8,60.3,684.2,352.3
1884,63.8,161.8,151,226.7,3.3,0.3,7.1,0.7,53.9,32.4,9.9,48.5,381,8.1,96.2,759.4,232.2
1885,212.2,137.8,77.6,105,10.1,20.5,0.1,33.1,5.2,31.5,154.6,96,192.7,53.7,191.3,883.7,398.5
1886,108.8,64.4,120.1,101.2,79.4,35.2,0,0,25.9,116.1,72.9,132.9,300.7,35.2,214.9,856.9,269.2
1887,39.7,13.4,130.5,20.6,75.5,8,0,9.6,20.2,68.7,196.3,204.8,226.6,17.6,285.2,787.3,186
1888,45.6,53.9,162.2,34.4,26.8,16.8,12.9,13.8,41.2,86.4,189.4,171.2,223.4,43.5,317,854.6,304.3
1889,51.4,36.9,96,121.6,41.2,45.2,3.8,3.2,20.2,72.8,47.7,9.7,258.8,52.2,140.7,549.7,259.5
1890,38.2,50.1,112.6,115.3,66.1,0.2,0,0.9,18.5,5.9,12.8,171.7,294,1.1,37.2,592.3,98
1891,62.3,27.4,118.8,29.4,94,29.1,1,4.7,29.7,133.5,157.2,49.3,242.2,34.8,320.4,736.4,261.4
1892,139.6,163.4,180.1,104.6,55.1,35.8,0.3,3.6,26.3,110.4,62.7,107.3,339.8,39.7,199.4,989.2,352.3
1893,80.1,99.9,72.7,145.4,81.4,41.3,0.4,0.2,31.2,35.5,131.9,100.5,299.5,41.9,198.6,820.5,287.3
1894,120.2,17.6,72.8,130.5,25.8,6.3,1.7,0.8,12.9,161.2,112.2,49.2,229.1,8.8,286.3,711.2,238.3
1895,236.9,235.1,114.3,103.3,30.6,23.2,8.2,0,223,180.4,154.1,111.5,248.2,31.4,557.5,1420.6,521.2
1896,6.5,63.6,44.9,18.7,13.8,31.1,1.4,5.4,1.9,70.5,76.5,147.3,77.4,37.9,148.9,481.6,181.6
1897,137.4,12,69.2,28.6,43.7,8.4,2.1,0,10.4,146.9,181.1,109.8,141.5,10.5,338.4,749.6,296.7
1898,66.2,15.9,66.9,37.3,60.2,21,1.5,0,32.6,75,153.1,14,164.4,22.5,260.7,543.7,191.9
1899,114,248.1,93.5,9.4,17.7,17.2,0,19.4,3.5,88.1,69.9,107.1,120.6,36.6,161.5,787.9,376.1
1900,76.6,151.9,42,99.1,127.9,4.7,0,46.3,13.5,26.2,80.5,74,269,51,120.2,742.7,335.6
1901,120.8,103.5,146.5,32.5,22.9,1.8,0,0,73.9,49.3,57,118.2,201.9,1.8,180.2,726.4,298.3
1902,22.9,263.3,49.6,97,31.4,42.5,55.3,8.8,10,72,203.3,69.1,178,106.6,285.3,925.2,404.4
1903,126.6,50.4,35.4,62.2,93.6,77.6,4,1.8,67.9,70.3,38.2,165.1,191.2,83.4,176.4,793.1,246.1
1904,67.2,144.1,75.4,25.2,12.4,10.3,0,0,40.5,45.4,117.9,84.4,113,10.3,203.8,622.8,376.4
1905,66.7,5,37.9,49.8,26.1,54.3,0,2.9,20.3,62.7,162.6,99.4,113.8,57.2,245.6,587.7,156.1
1906,39,62.3,45.4,24.5,42.4,11.9,0,0.2,24.7,86.7,102.1,22.6,112.3,12.1,213.5,461.8,200.7
1907,33.7,19.9,1.2,62,130.6,1.5,9.6,0,106.7,146.8,233.7,120.9,193.8,11.1,487.2,866.6,76.2
1908,145.2,1.5,56.7,67.5,30,59.8,0,0.3,1.5,63.6,199.7,71.8,154.2,60.1,264.8,697.6,267.6
1909,46.6,16.3,105.1,15.2,61,14.4,1.5,1.4,35,31.7,246.6,150.5,181.3,17.3,313.3,725.3,134.7
1910,38.3,41.4,67.6,44,57.9,14.6,4.2,1.1,95.8,89.7,133.4,210.1,169.5,19.9,318.9,798.1,230.2
1911,42.7,24.9,102,101.8,33.9,49,0,51.8,24.8,194.5,105.5,147.3,237.7,100.8,324.8,878.2,277.7
1912,130.5,243.9,72.3,19,29.9,30,12.5,12,33.6,116.8,21.9,23.7,121.2,54.5,172.3,746.1,521.7
1913,149.5,51.6,93.1,37.6,17.8,10.5,0,0.6,57.4,262,64.4,59.2,148.5,11.1,383.8,803.7,224.8
1914,70.1,170.7,47.8,49,7.4,25.2,3.2,0,9.6,148.8,80.3,255,104.2,28.4,238.7,867.1,300
1915,102.5,144.1,170.5,24.6,44.4,0.9,4.4,0.2,11.7,12.8,179.7,126.2,239.5,5.5,204.2,822,501.6
1916,36.2,106.4,187.1,19,52.5,11.2,36.8,0.6,32.8,16.3,153.7,117.8,258.6,48.6,202.8,770.4,268.8
1917,148.1,152,81.2,61.1,69.8,2.3,0,1.7,0,46,0,39.1,212.1,4,46,601.3,417.9
1918,281.7,38.1,55.3,62.4,21.2,0.4,1.2,1.2,180.1,11.8,124.2,56.8,138.9,2.8,316.1,834.4,358.9
1919,121.4,171.7,47.5,80.4,23.6,22.8,1.1,0,4.6,54.9,148,79.2,151.5,23.9,207.5,755.2,349.9
1920,43.8,120.7,60.8,55.9,59.3,2.9,0,1,25,111,110.8,77.3,176,3.9,246.8,668.5,243.7
1921,37.7,63.6,33.7,47,9.4,2.5,6.8,0,173,72.9,196.4,26.6,90.1,9.3,442.3,669.6,178.6
1922,95,22.3,74.5,26.5,16.2,9.5,4.2,3.6,23.6,167.9,15.7,130.5,117.2,17.3,207.2,589.5,143.9
1923,3.8,105.1,27.6,120.4,19.4,9,0.1,0,23.5,104.5,119.2,39,167.4,9.1,247.2,571.6,239.4
1924,138.7,93.7,189.2,86.7,23.2,7.9,0.6,12.4,43.1,54.6,111.6,121.6,299.1,20.9,209.3,883.3,271.4
1925,17.1,109.2,35.9,56.8,27.2,9.1,23.1,4,7,62.6,241.4,193.4,119.9,36.2,311,786.8,247.9
1926,49.4,95.9,115.6,86.5,32.8,1,1.5,0.7,0,138.5,130.9,51.5,234.9,3.2,269.4,704.3,338.7
1927,84.1,71.9,69.8,11,27.8,18.5,4.1,3.9,20.4,72.6,79.5,220,108.6,26.5,172.5,683.6,207.5
1928,36.1,80.5,146.2,104.7,39.5,54.7,0,0.2,127.1,22.7,52.2,73.7,290.4,54.9,202,737.6,336.6
1929,45.4,71.2,29.2,34.5,26,13.2,15.2,0.7,44.7,39.6,152.6,57.2,89.7,29.1,236.9,529.5,190.3
1930,119.2,37.9,56.8,82.3,14.9,40,8.1,5.2,15.1,60,31.8,42.2,154,53.3,106.9,513.5,214.3
1931,54.3,13.9,107.5,39.6,47.7,11.6,0.4,9.2,21.4,75.6,74.5,0.3,194.8,21.2,171.5,456,110.4
1932,60.7,37.8,82.6,36.1,20.2,16.4,2.8,3.7,54.7,62.2,89.5,182.3,138.9,22.9,206.4,649,98.8
1933,82.3,10,102,5.2,35.8,5.9,0.5,0.2,17.5,150.3,64.9,91.6,143,6.6,232.7,566.2,274.6
1934,26.9,5.9,100.6,88,13.5,2.6,1.5,0.7,5.4,2.8,59.5,192.3,202.1,4.8,67.7,499.7,124.4
1935,3,38,61.1,30,36.2,16,0,3.9,4.4,5.9,126.9,116.4,127.3,19.9,137.2,441.8,233.3
1936,126,175.1,197.4,104.5,28.3,9.3,2.8,0,1.6,9.8,60.9,39.3,330.2,12.1,72.3,755,417.5
1937,201,35.2,167.3,34.2,24.1,10.1,0.1,0,27,145.4,238.2,114.8,225.6,10.2,410.6,997.4,275.5
1938,40.6,58.1,30.3,62,93.6,3.3,0.9,0,71.5,11.6,46.5,93.4,185.9,4.2,129.6,511.8,213.5
1939,183.6,61.1,23.6,81.1,22.5,53.8,0.7,0.4,62.8,138.4,87.2,137.1,127.2,54.9,288.4,852.3,338.1
1940,240.1,140.4,100.8,46.4,47.3,3.7,0,1.5,12.6,112,45,25.6,194.5,5.2,169.6,775.4,517.6
1941,198.9,108,89.6,122.9,31.9,9.4,27.8,0,26.6,11,144.8,20.2,244.4,37.2,182.4,791.1,332.5
1942,92.8,43.7,208.3,106.5,28.7,15.3,0,9.3,79.6,94.2,55.3,132.6,343.5,24.6,229.1,866.3,156.7
1943,170.2,36.7,109.7,51,4.2,0.6,12.3,0.9,132,39.2,9.1,64.9,164.9,13.8,180.3,630.8,339.5
1944,10.2,30.6,77.1,85.6,6.1,39.4,12.6,10.8,33.9,44.8,35.5,33.4,168.8,62.8,114.2,420,105.7
1945,64.5,11.1,15.3,31.6,37.3,13.9,7,0,0,44.4,164.7,143.6,84.2,20.9,209.1,533.4,109
1946,98.6,33.8,103.4,66.3,149.3,8.1,0.4,5.2,25.3,87.5,75.8,52.5,319,13.7,188.6,706.2,276
1947,133.2,318.7,173.2,26,34.2,5.2,0,1.5,18.2,61.8,75.2,101.8,233.4,6.7,155.2,949,504.4
1948,127.6,169.1,53,49.4,60,0,0,10.2,4.2,34,12.7,193,162.4,10.2,50.9,713.2,398.5
1949,52.1,13.4,56,55,4.1,16.1,1.1,4.2,97.2,24.9,118.7,83.1,115.1,21.4,240.8,525.9,258.5
1950,56.7,51.6,60.1,10.5,82.7,25.2,17.5,0.3,1.5,30.1,33.4,151.4,153.3,43,65,521,191.4
1951,161.2,121,106.8,36.1,38.3,64.1,0.5,3.1,8.9,42.8,175.1,51.4,181.2,67.7,226.8,809.3,433.6
1952,96.6,20.9,171.6,57.5,117.5,41.3,0,0.7,58.9,50.2,39.5,72.8,346.6,42,148.6,727.5,168.9
1953,74.5,77.5,39.1,54.6,11.2,4.6,0,0,27,149.8,55.2,224.6,104.9,4.6,232,718.1,224.8
1954,31.6,39.4,150.7,55.3,12.5,9,0,1.3,0.5,51.3,66.9,60.5,218.5,10.3,118.7,479,295.6
1955,220.6,155.5,111.9,8.1,9.6,10.7,0.9,0.7,0,45,204.8,190.2,129.6,12.3,249.8,958,436.6
1956,150.7,40.1,173.3,71.4,31.9,0,8.1,22.9,75.1,64.3,52.3,64.8,276.6,31,191.7,754.9,381
1957,34.6,97.4,74.1,25.3,111.3,32,3,2.6,28.5,8.1,95.5,76.5,210.7,37.6,132.1,588.9,196.8
1958,157.3,71.8,86.2,37.4,9,16.6,6.6,36,6.2,21.9,29.8,281.7,132.6,59.2,57.9,760.5,305.6
1959,142.3,68.1,219.1,67,92.8,0.1,0,1.4,72.5,75.7,135.3,138.4,378.9,1.5,283.5,1012.7,492.1
1960,115.4,113.8,158.9,64.7,96.8,8,1.2,4.2,27,165.6,153.4,75.1,320.4,13.4,346,984.1,367.6
1961,65.4,22,75.4,52.9,47.9,18.7,0.7,0,29.8,30.3,227.2,94,176.2,19.4,287.3,664.3,162.5
1962,94,57.2,187.5,26.2,39.5,2,0.2,0,20,196.5,85.5,72.9,253.2,2.2,302,781.5,245.2
1963,280.9,203.5,85.6,129.9,16.5,36.4,0,0.2,8.2,49.9,188.7,336.2,232,36.6,246.8,1336,557.3
1964,72,180.5,128.8,48.7,27.9,18.9,1.5,4.2,19.3,9.6,45.1,43.5,205.4,24.6,74,600,588.7
1965,81.4,86.7,131.1,19.9,3.7,0.6,0,0.4,105.5,283.4,147.4,78,154.7,1,536.3,938.1,211.6
1966,193.6,208.9,0.1,178.1,2.6,8,0,6.8,29.2,95.7,62.6,31.8,180.8,14.8,187.5,817.4,480.5
1967,74.7,105.7,55.5,68.7,28.3,14.3,0,7.3,2.4,40.2,169.8,18.7,152.5,21.6,212.4,585.6,212.2
1968,1.8,171.5,101.5,73.6,40.8,12.5,0.2,2.1,31.7,110.7,224.3,138.1,215.9,14.8,366.7,908.8,192
1969,171.6,200.1,183,13.5,82.6,29.6,0,0,93.9,92.2,112.7,32.3,279.1,29.6,298.8,1011.5,509.8
1970,329.7,20,40.8,19.3,81.5,98.2,2.1,6.1,2.5,4.7,109.4,34.2,141.6,106.4,116.6,748.5,382
1971,152.8,18.6,50.4,151.9,100.1,52.8,6.3,9.7,0.9,1,11.2,56.4,302.4,68.8,13.1,612.1,205.6
1972,157.3,184.4,106.4,6,27,2.6,6.4,0.3,32.1,123.9,19.5,171.7,139.4,9.3,175.5,837.6,398.1
1973,135.6,24.5,22,27.1,116.9,0.5,25.8,0.1,25.4,25,104.3,90.1,166,26.4,154.7,597.3,331.8
1974,99.3,79.6,37.7,52,22.3,65.5,0,0,3.3,7.3,54.5,21,112,65.5,65.1,442.5,269
1975,81.1,116.5,180.2,17,18,14.3,0.9,0,9.6,3.3,45.7,46,215.2,15.2,58.6,532.6,218.6
1976,59.1,71.9,51.1,80.2,1.2,0,12.6,58.5,110,94.2,137.3,216.7,132.5,71.1,341.5,892.8,177
1977,109.1,161.4,38.1,16.4,5.8,67,22,0.1,10.3,177.1,121.6,185.9,60.3,89.1,309,914.8,487.2
1978,70,176,69.8,86.5,44.1,28.6,0,0.5,4.3,81.4,69.3,253.4,200.4,29.1,155,883.9,431.9
1979,192.8,280.7,109.5,65.7,9,11.9,2.9,0,5.8,214.9,14.2,29.3,184.2,14.8,234.9,936.7,726.9
1980,53.5,64,94.1,19.2,71.6,2.8,2.3,20.5,6.1,72.7,87.1,14.1,184.9,25.6,165.9,508,146.8
1981,11.6,34,72,86,52.9,3.8,4.2,0,26.7,29.8,2.5,258.4,210.9,8,59,581.9,59.7
1982,112.8,92.3,21.8,85.1,6.4,12.9,8.2,11,56.9,23.3,125.6,31.2,113.3,32.1,205.8,587.5,463.5
1983,6.2,43.1,1.9,97.9,50.3,8.6,0.8,2.2,0.3,42,344.3,109.4,150.1,11.6,386.6,707,80.5
1984,40.6,10.6,52.2,46.7,66.6,22.9,2.3,3.1,8.1,55.2,134.8,76.9,165.5,28.3,198.1,520,160.6
1985,224.6,169.5,28.1,120.9,36,18.1,0.5,0,1,0.5,137.8,95.6,185,18.6,139.3,832.6,471
1986,52.2,161.1,28.2,39,25.7,6.6,0,3,66.8,28.2,92.6,57.7,92.9,9.6,187.6,561.1,308.9
1987,130,169.1,31.4,46.1,0.3,4.1,1.2,29.5,31.8,107.4,62.1,164.9,77.8,34.8,201.3,777.9,356.8
1988,107.7,120.7,8.5,45.4,58.5,69.4,42.7,0,0.9,81.4,147.5,20.4,112.4,112.1,229.8,703.1,393.3
1989,62.5,80.3,39.1,103.2,53.1,0,0,2.1,11.2,86.2,221.2,383.3,195.4,2.1,318.6,1042.2,163.2
1990,63.1,10.9,36.3,97.3,21.7,4.4,0.2,2.4,17.4,240,98.7,66.9,155.3,7,356.1,659.3,457.3
1991,64.9,162,118,53.5,1.2,0.4,5.3,2.8,26.1,75,32.3,49.4,172.7,8.5,133.4,590.9,293.8
1992,62.7,19,8.5,63,51.4,13.9,0,4,33,70.5,11.3,78.7,122.9,17.9,114.8,416,131.1
1993,19.6,47.8,42.6,65.9,150,8,0,2.1,74.4,159,135.4,17.7,258.5,10.1,368.8,722.5,146.1
1994,72.1,112,6.3,22.4,156,0,0.8,2.1,1.3,67.4,100.4,44.8,184.7,2.9,169.1,585.6,201.8
1995,64.9,56.7,20.3,33.3,25.9,7.3,2.4,0,27.3,41.7,212.9,255.9,79.5,9.7,281.9,748.6,166.4
1996,353.9,117,74.7,32.2,139.8,0.1,0.6,1,46.8,24.5,71.7,284.8,246.7,1.7,143,1147.1,726.8
1997,153.1,2.7,2,46.5,110.3,51.8,27.8,15.2,2.4,204.8,374.7,158.1,158.8,94.8,581.9,1149.4,440.6
1998,68,64,33,54,84,38,0.1,0,63.4,4.7,14,43.3,171,38.1,82.1,466.5,290.1
1999,98.6,10.3,84.7,41.5,85.4,0,6.2,23.7,128.7,219.1,38.9,71.7,211.6,29.9,386.7,808.8,152.2
2000,23.7,25.5,22.4,160.9,32.9,0.8,8.8,4.6,18.3,27.9,169.6,296.4,216.2,14.2,215.8,791.8,120.9
2001,191.9,75.6,52.4,9.3,52.4,16.5,2.5,0.8,60.7,151.1,7.8,42,114.1,19.8,219.6,663,563.9
2002,77,16.2,106.7,43,16.8,6.9,0.9,0.2,80.9,105.4,193.2,162,166.5,8,379.5,809.2,135.2
2003,134.5,88.5,76.1,122.1,2.2,4.5,1.7,32.9,7.3,175.4,132.5,93.9,200.4,39.1,315.2,871.6,385
2004,150.5,46.1,43,38.8,19.8,0.4,0,25.3,30.5,118.6,26.1,26.6,101.6,25.7,175.2,525.7,290.5
2005,0,12.3,50.1,25.3,16.3,1,4.5,3.9,7,132.6,170.9,36.2,91.7,9.4,310.5,460.1,38.9
2006,54.7,75.6,104.8,50.9,0.2,43.5,0.6,3.1,56.5,233.9,260.2,79.6,155.9,47.2,550.6,963.6,166.5
2007,42.6,116.2,18.6,44.5,47.5,32.5,3.1,5.4,36.7,18.4,104.4,59.1,110.6,41,159.5,529,238.4
2008,104.3,170.1,44.9,151,77.7,0.8,0.2,0.6,36.2,51.7,52,131.5,273.6,1.6,139.9,821,333.5
2009,253.9,117.3,10.6,45,53.7,58.9,0,1.2,9.4,107.1,136.6,294.5,109.3,60.1,253.1,1088.2,502.7
2010,173,282.3,147.9,90.3,38.5,31.5,0,1.2,4.6,257,191,293.8,276.7,32.7,452.6,1511.1,749.8
2011,103.9,171.6,89.4,125.4,95.8,8.2,0.4,4.9,52.1,114.2,256.3,26.5,310.6,13.5,422.6,1048.7,569.3
2012,17.9,0,57.8,59.3,97.8,3.1,0.3,10.2,57.6,145.4,266.2,160.4,214.9,13.6,469.2,876,44.4
2013,165.2,69.8,239.6,72,16.4,5.6,0.3,0,59.6,228,16.6,75.8,328,5.9,304.2,948.9,395.4
2014,200.7,159.4,42.7,88.4,30.5,32.4,5.9,0.1,118.3,90.4,294.1,29.5,161.6,38.4,502.8,1092.4,435.9
2015,90.5,14.9,22.8,72.8,3.4,11.8,2.4,1.5,4.3,140.5,28.7,38,99,15.7,173.5,431.6,134.9
2016,117.7,96.7,44.4,111.3,117.3,0.8,0.9,0.1,13,54,138,100.1,273,1.8,205,794.3,252.4
2017,77,103.6,80,5.5,65,0.4,0.6,6.9,0.1,34.9,71.3,55.4,150.5,7.9,106.3,500.7,280.7
2018,81.7,36.5,228.7,123.8,9.5,20.2,1.4,0,0,49.9,192.7,24.5,362,21.6,242.6,768.9,173.6